,station,address,avg_fast,avg_slow,lat,lng
0,영등포전력지사,서울특별시 영등포구 경인로 878,68.9512747252747,0.6086703296703299,37.517367,126.910236
1,명일동 공영주차장,서울특별시 강동구 구천면로 395(명일동),66.71549450549449,0.0,37.551194,127.142924
2,송파파크데일1단지 아파트,서울특별시 송파구 마천동 성내천로37길 37,45.055538461538475,33.150483516483575,37.4987866566,127.1581012036
3,송파구청,서울특별시 송파구 신천동 29-5 송파구청 앞,124.70087912087902,0.0,37.5146124,127.1060852
4,송파삼성래미안,서울특별시 송파구 송파동 오금로32길 14,16.10131868131868,21.191208791208783,37.5052524778,127.11780238
5,가락2동 주민센터,서울특별시 송파구 가락동 154,202.4321758241761,0.0,37.498714,127.126652
6,강동송파지사,서울특별시 강동구 둔촌동 522-9,171.57854945054916,2.751289377289377,37.52386992,127.135443
7,강일리버파크3단지,서울특별시 강동구 강일동 아리수로93길 40,39.387780219780225,48.10527472527472,37.5655159695,127.1751072048
8,가락시장,서울특별시 송파구 양재대로 932,75.83997069597065,0.0,37.493241,127.112315
9,신성둔촌미소지움아파트 입주자대표회의,서울특별시 강동구 둔촌동 명일로 102,1.4938901098901105,10.047791208791208,37.5276457671,127.1425454548
10,갤러리아팰리스,서울특별시 송파구 잠실동 40,21.61279120879121,26.334578754578796,37.511529,127.094596
11,송파꿈에그린(위례24단지),서울특별시 송파구 장지동 516,19.794714285714285,26.50162637362633,37.47592327474,127.1390103411
12,천호1동 공영주차장,서울특별시 강동구 구천면로 42길 60(천호동),105.46132967032987,0.0,37.545049,127.136282
13,레이크팰리스,서울특별시 송파구 잠실동 잠실로 88,15.057241758241753,22.141527472527418,37.5075341602,127.093213298
14,리센츠 아파트,서울특별시 송파구 올림픽로 135,38.91742857142853,38.34659340659332,37.513161,127.090312
15,성내삼성 아파트,서울특별시 강동구 성내동 풍성로 128,28.64057142857141,18.26901098901098,37.5299423276,127.1259823751
16,강동헤르셔,서울특별시 강동구 천호동 천호대로 1089,3.7357802197802226,15.680989010989013,37.5366055081,127.1331171805
17,거여4단지 아파트,서울특별시 송파구 거여동 양산로4길 8,2.0112747252747254,21.125054945054956,37.4895863312,127.1433912604
18,거여2동 주민센터,서울특별시 송파구 거여동 195-1,148.237142857143,0.0,37.4935643829,127.146969926
19,송파더센트레,"서울특별시 송파구 위례광장로 163 (장지동, 위례22단지)",10.123516483516482,19.17009523809524,37.47935896489,127.1401853902
20,한국광고문화회관,서울특별시 송파구 신천동 7-11,86.37650549450554,0.0,37.5159069385,127.099593702
21,삼익가든아파트,서울특별시 강동구 명일동 260-1,0.0,18.816505494505495,37.54588600963,127.1466312646
22,고덕아이파크,서울특별시 강동구 고덕동 동남로79길 26,13.356131868131875,14.963150183150189,37.5591846946,127.1537423213
23,가락쌍용1차 아파트,서울특별시 송파구 가락동 동남로 193,3.1262747252747247,22.606373626373628,37.4946987694,127.1292251319
24,송파파인타운6단지 아파트,서울특별시 송파구 충민로6길 14,29.776769230769244,17.807384615384613,37.48056250195,127.1319978941
25,송파파인타운9단지,서울특별시 송파구 송파대로 8길 17,66.0680659340658,26.434835164835203,37.478239,127.128729
26,잠실롯데캐슬골드 아파트,서울특별시 송파구 신천동 올림픽로 269,19.456241758241763,16.987945054945055,37.5144261788,127.100610302
27,거여5단지 아파트,서울특별시 송파구 거여동 양산로4길 16,8.356813186813183,10.47846153846154,37.4892095924,127.1449645201
28,고덕리엔파크3단지 아파트,서울특별시 강동구 상일로 74,28.725714285714258,16.46334432234431,37.55223512265,127.1752187199
29,홈플러스 강동점,서울특별시 강동구 양재대로 1571,81.64006593406586,0.0,37.54571126255,127.1421724756
30,송파성원상떼빌,서울특별시 송파구 가락동 송파대로28길 27,2.9313406593406603,10.988571428571433,37.4948850029,127.1200929635
31,위례스타힐스,서울특별시 송파구 장지동 위례광장로 215,13.487758241758245,22.77944322344325,37.481504,127.143668
32,더샵스타리버 아파트,서울특별시 송파구 올림픽로35길 93,40.47648351648355,0.0,37.51778342631,127.1046327039
33,성내1차이편한세상,서울특별시 강동구 천호대로168길 58,0.0,3.345318681318683,37.53331732998,127.1310838701
34,대우한강베네시티 아파트,서울특별시 강동구 올림픽로 664,0.0,19.84956043956043,37.540361,127.124838
35,송파파크데일2단지,서울특별시 송파구 마천동 성내천로47길 38,12.648263736263745,21.625934065934043,37.4963394415,127.1581638948
36,마천동1공영주차장,서울특별시 송파구 성내천로43길 6,10.653054945054937,0.0,37.49518194689,127.15556452
37,송파파인타운5단지,서울특별시 송파구 장지동 충민로4길 5,15.528571428571428,19.22252747252745,37.4796153626,127.1297192236
38,GS강동자이 아파트,서울특별시 강동구 천호대로 1239(길동),6.70626373626373,21.80681318681317,37.4765488043,127.111607161
39,삼전동 공영주차장,서울특별시 송파구 삼전동 175-8,101.35015384615383,0.0,37.500239,127.095866
40,위례 포레샤인 23단지,서울특별시 송파구 장지동 380-1,13.918923076923083,17.042454212454192,37.47617081866,127.1353309043
41,강일리버파크7단지 아파트,서울특별시 강동구 아리수로98길 25,10.9521978021978,17.63214652014651,37.56505092294,127.178802828
42,강일리버파크5단지,서울특별시 강동구 강일동 아리수로97길 20,7.740417582417578,15.473113553113569,37.567726,127.178447
43,문정근린공원 공영주차장,서울특별시 송파구 문정로 지하 12,90.88290109890124,0.0,37.485959583661,127.1236290222
44,잠실파크인수,서울특별시 송파구 백제고분로 187,0.0,5.937054945054947,37.50473262281,127.0877404572
45,문정래미안아파트,서울특별시 송파구 문정동 문정로 83,27.768395604395604,25.704534798534766,37.490893,127.130226
46,현대백화점 천호점,서울특별시 강동구 천호대로 1005,42.40775824175819,0.0,37.53887464166,127.1244744264
47,거여1단지 아파트,서울특별시 송파구 거여동 양산로8길 8,12.546197802197796,13.767527472527476,37.4909147866,127.1445652655
48,잠실한양3차 아파트,서울특별시 송파구 방이동 양재대로 1089,0.0,4.369230769230767,37.5058495904,127.1224810673
49,송파와이즈더샵,서울특별시 송파구 장지동 위례광장로 270,0.0,14.364285714285705,37.4771052523,127.1436523086
50,둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172,11.496527472527468,9.702783882783882,37.53414,127.14507
51,성내동중앙하이츠,"서울특별시 강동구 양재대로95길 53 (성내동, 중앙하이츠아파트)",0.0,7.381296703296707,37.53051922418,127.1335396726
52,강일리버파크 6단지,서울특별시 강동구 강일동 아리수로94길 19,8.578109890109893,0.0,37.5627340873,127.1772602489
53,송파공영주차장,서울특별시 송파구 백제고분로44길 13-25,0.6699999999999999,0.0,37.507026462481,127.1132924712
54,송파파인타운10단지,서울특별시 송파구 장지동 송파대로8길 20,11.042549450549451,7.028714285714287,37.4781324844,127.1311863959
55,송파파인타운1단지아파트,서울특별시 송파구 장지동 833,0.0,10.345384615384628,37.4863182,127.1341958
56,한강극동아파트,서울특별시 송파구 풍납동 토성로 38-6,29.20501098901097,26.835604395604403,37.5294607024,127.1140527139
57,암펠로스타워,서울특별시 강동구 둔촌동 명일로 110,0.0,11.154725274725278,37.5288091079,127.1431676374
58,길동삼익파크,서울특별시 강동구 길동 명일로 293,12.96380219780221,16.163626373626364,37.5447060359,127.1463619029
59,고덕리엔파크1단지,서울특별시 강동구 상일로 152,0.0,16.677032967032964,37.561757,127.172139
60,풍납쌍용,서울특별시 송파구 풍납동 올림픽로47길 9,1.9552527472527472,13.109010989010995,37.5274169167,127.1180408617
61,명일한양아파트,서울특별시 강동구 명일동 동남로71길 19,35.30551648351646,0.0,37.550839,127.155315
62,강동보건소,서울특별시 강동구 성내동 541-2,3.179120879120879,0.0,37.529539325201,127.1253752982
63,위례송파푸르지오 아파트,서울특별시 송파구 장지동 위례광장로 185,5.103604395604395,0.0,37.4802093902,127.1397599524
64,강일리버파크11단지,서울특별시 강동구 강일동 고덕로97길 100,0.0,1.7270769230769225,37.562856,127.17973
65,강일리버파크10단지,서울특별시 강동구 강일동 고덕로97길 20,3.2662417582417587,0.0,37.5592088582,127.1799953539
66,한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41,2.8130989010989005,4.68153846153846,37.5560114394,127.131304691
67,암사라인 아파트,서울특별시 강동구 암사동 고덕로 53,0.0,0.0037362637362637367,37.5549808769,127.1311444412
68,송파현대힐스테이트,서울특별시 송파구 풍납동 풍성로26길 31,0.0,11.405714285714284,37.530849827,127.11830456
69,경보그레이스 힐,서울특별시 강동구 성내동 풍성로53길 40,0.0,1.4758351648351644,37.5311320576,127.1353837592
70,쌍용스윗닷홈 거여1차 아파트,서울특별시 송파구 오금로62길 10,0.0,2.1710769230769227,37.49182576795,127.1467064418
71,가락우성2차 아파트,서울특별시 송파구 가락동 중대로12길 35,0.0,0.02813186813186813,37.4920142127,127.1254708566
72,한강포스파크아파트,서울특별시 강동구 암사동 고덕로19길 30,0.0,0.002417582417582417,37.556032,127.133941
73,천호유수지,서울특별시 강동구 선사로 70 (천호동),1.1300549450549449,0.0,37.544788986,127.12187757
74,송파도서관,"서울특별시 송파구 동남로 263 (오금동, 송파도서관)",1.1090549450549452,0.0,37.501,127.134
75,강동아트센터(강동문화재단),"서울특별시 강동구 동남로 870 (상일동, 강동아트센터)",0.4964395604395605,0.0,37.5511,127.1573
76,문래힐스테이트,서울특별시 영등포구 문래동3가 문래로 82,0.0,7.145821428571431,37.51872,126.89107
77,롯데캐슬엠파이어,서울특별시 영등포구 여의도동 의사당대로 127,13.217560439560446,19.854505494505485,37.520241356,126.9264085517
78,영등포아트자이 아파트,서울특별시 영등포구 도림동 도영로 66,6.107318681318685,12.898578754578756,37.5103939542,126.9001777987
79,대림어린이공원 공영주차장,서울특별시 영등포구 대림동 870,74.73758241758239,0.0,37.491084439,126.9033538022
80,문래자이아파트,서울특별시 영등포구 문래동3가 당산로4길 12,12.682725274725275,18.974945054945067,37.5162769232,126.8973918801
81,남서울직할(영등포)지사,서울특별시 영등포구 문래동3가 80,114.38351648351644,0.5827409733124019,37.52031651,126.892762
82,신길경남 아파트,서울특별시 영등포구 영등포로 351,2.7061538461538466,12.702087912087912,37.515558,126.918256
83,남서울직할,서울특별시 영등포구 여의도동 21,37.884956043956116,1.9816758241758246,37.52754543,126.930284
84,당산대우 아파트,서울특별시 영등포구 당산동2가 16-1,3.0655164835164825,14.702747252747256,37.5208860347,126.8928607252
85,국회의사당,서울특별시 영등포구 여의도동 1,0.0,16.284461538461567,37.5329136,126.9164036
86,바다마을아파트,서울특별시 영등포구 신길동 가마산로 540,0.0,2.9074120879120895,37.50276,126.91541
87,신길뉴타운한화꿈에그린,서울특별시 영등포구 신길동 신길로 119,0.0,7.282087912087914,37.5035107402,126.909709552
88,보라매벚꽃마을아파트,서울특별시 영등포구 신길동 대방천로14길 34,0.0,51.87584615384612,37.4959210357,126.9101936408
89,신길삼성래미안,서울특별시 영등포구 신길동 가마산로79길 7,6.9829010989011,10.294945054945051,37.505457,126.9153493
90,대림동현대3차 아파트,서울특별시 영등포구 대림동 608-1,5.394109890109888,11.912527472527469,37.5062341681,126.8951526953
91,양평한신아파트,서울특별시 영등포구 양평동5가 76,19.622307692307686,26.88026373626371,37.54007118621,126.8920208623
92,대림운동장 공영주차장,서울특별시 영등포구 대림동 780,117.48248351648371,0.0,37.499068524,126.8942003346
93,영등포레미안 아파트,서울특별시 영등포구 신길동 4945,8.409120879120877,16.39727472527471,37.5049810409,126.9095268262
94,문래금호어울림 아파트,서울특별시 영등포구 문래동3가 97,0.0,5.333274725274727,37.5189841833,126.8981392781
95,문래건영아파트,서울특별시 영등포구 문래동3가 93-1,0.0,2.082498168498168,37.51827643829,126.8925386789
96,당산근린지하공영주차장,서울특별시 영등포구 당산로27길 12 (당산동3가),19.829417582417587,0.0,37.52551222,126.89576941
97,서울영등포우체국,"서울특별시 영등포구 선유동2로 6 (당산동4가, 서울영등포우체국)",0.6540549450549449,0.0,37.52962614,126.8949565
98,영등포구민회관,"서울특별시 영등포구 국회대로 596 (당산동3가, 영등포구민회관)",1.7784395604395604,0.0,37.526142,126.900028
99,신정동일하이빌아파트1단지,"서울특별시 양천구 신정로11길 20 (신정동, 동일하이빌아파트)",0.0,21.085010989010982,37.5107833089,126.8401934228
100,방화5단지 아파트,서울특별시 강서구 방화동 금낭화로 287-19,19.04248351648352,8.581846153846152,37.5768026767,126.810285497
101,e편한세상염창,서울특별시 강서구 공항대로 583,0.0,12.720421978021976,37.54876208844,126.8703941578
102,신정이펜하우스 2단지,서울특별시 양천구 신정이펜2로 55,0.0,9.80435164835164,37.515688,126.830737
