,stat_id,node_id,distance,link
0,KP000011,1010016300.0,0.0488717309164046,"[1010004604, 1010004605, 1010031000]"
1,KP000012,1060022300.0,0.1019590616498753,"[1060041100, 1060041200, 1060004201, 1060004202, 1060004301, 1060004302]"
2,KP000013,1130011600.0,0.0454817495638407,"[1130034100, 1130034200, 1130034500, 1130034600, 1130035900, 1130036000]"
3,KP000014,1010025900.0,0.0659035343206883,"[1010011401, 1010011402, 1010041100]"
4,KP000015,1030031900.0,0.1696690700894452,"[1030018701, 1030018702, 1030018801, 1030018802, 1030047000, 1030047100]"
5,KP000016,1240008900.0,0.0674248321855844,"[1240005903, 1240006003, 1240030000, 1240030100, 1240226601, 1240226701]"
6,KP000017,1140003800.0,0.1096089482000669,"[1140010900, 1140011100, 1140012900]"
7,KP000018,1180010600.0,0.0745147425427821,"[1180038004, 1180038102, 1180038602, 1180038702, 1180039200]"
8,KP000019,1210018500.0,0.1326611071771689,"[1210013201, 1210013202, 1210013301, 1210013302, 1210041200, 1210041300]"
9,KP000020,1180049400.0,0.0924407098739714,"[1180033401, 1180033402, 1180033501, 1180033502, 1180094900, 1180095000]"
10,KP000021,1180036300.0,0.0448174800811953,"[1180079301, 1180079402, 1180081000, 1180081100, 1180081900, 1180082000]"
11,KP000102,1210083000.0,0.082755612763993,"[1210168700, 1210168800]"
12,KP000104,1100036200.0,0.0727005692966532,"[1100003300, 1100003403, 1100003803, 1100028801, 1100087400, 1100028502, 1100028602]"
13,KP000108,1230044100.0,0.1095373929550968,"[1230027902, 1230028002, 1230028301, 1230028401, 1230029700, 1230029800, 1230027304, 1230027404]"
14,KP000120,1020016500.0,0.0998411954717591,"[1020031800, 1020031900, 1020033800, 1020033900, 1020036300, 1020036400]"
15,KP000141,1110013501.0,0.0789021313753527,"[1110010101, 1110010103, 1110010202, 1110010204, 1110078800, 1110078900]"
16,KP000194,1130041000.0,0.0543005762999574,"[1130006702, 1130006703, 1130006802, 1130006803]"
17,KP000207,1010004900.0,0.1025731930004188,"[1010013700, 1010013800, 1010016300, 1010016400, 1010018100, 1010018200]"
