,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_fast
0,KP000296,187020,2407,229,20175.0,5,68.9512747252747
1,KP000224,201613,1279,244,5086.0,10,66.71549450549449
2,KP000524,282417,1968,3,9238.0,5,45.05553846153848
3,KP000108,282417,1968,613,22024.0,25,124.70087912087902
4,KP000690,282417,1968,105,5540.0,9,16.10131868131868
5,KP003261,282417,1968,99,5131.0,10,202.4321758241761
6,KP000016,201613,1279,153,28309.0,3,171.57854945054916
7,KP001800,201613,1279,33,7580.0,10,39.38778021978023
8,KP000222,282417,1968,272,6893.0,5,75.83997069597065
9,KP002271,201613,1279,53,28309.0,7,1.4938901098901105
10,KP002960,282417,1968,223,6737.0,5,21.61279120879121
11,KP002873,282417,1968,108,21116.0,19,19.794714285714285
12,KP000225,201613,1279,269,5086.0,3,105.46132967032987
13,KP000926,282417,1968,466,16087.0,8,15.057241758241751
14,KP001804,282417,1968,196,6737.0,6,38.91742857142853
15,KP001265,201613,1279,269,11163.0,18,28.64057142857141
16,KP002345,201613,1279,528,8954.0,19,3.735780219780223
17,KP001263,282417,1968,103,9238.0,17,2.0112747252747254
18,KP003259,282417,1968,285,9238.0,12,148.237142857143
19,KP003022,282417,1968,96,21116.0,26,10.123516483516482
20,KP003262,282417,1968,407,47916.0,18,86.37650549450554
21,KP000689,201613,1279,65,27327.0,4,13.356131868131875
22,KP000687,282417,1968,166,5131.0,8,3.1262747252747247
23,KP000523,282417,1968,3,21116.0,15,29.776769230769244
24,KP001806,282417,1968,20,31131.0,12,66.0680659340658
25,KP003258,282417,1968,75,21436.0,10,inf
26,KP000526,282417,1968,439,47916.0,22,19.456241758241763
27,KP001264,282417,1968,84,9238.0,18,8.356813186813183
28,KP000521,201613,1279,22,7580.0,3,28.725714285714258
29,KP002051,201613,1279,286,5086.0,7,81.64006593406586
30,KP000691,282417,1968,470,6893.0,16,2.9313406593406603
31,KP003149,282417,1968,52,21116.0,21,13.487758241758243
32,KP000522,282417,1968,393,12475.0,25,40.47648351648355
33,KP001807,282417,1968,4,9238.0,5,12.648263736263743
34,KP000680,282417,1968,59,9238.0,5,10.653054945054937
35,KP002684,282417,1968,10,21116.0,13,15.528571428571428
36,KP001799,201613,1279,0,7381.0,5,6.70626373626373
37,KP003260,282417,1968,216,7957.0,6,101.35015384615384
38,KP002812,282417,1968,71,21116.0,13,13.918923076923084
39,KP000520,201613,1279,5,7540.0,10,10.9521978021978
40,KP002811,201613,1279,5,2690.0,6,7.740417582417578
41,KP003866,282417,1968,415,16935.0,12,90.88290109890124
42,KP003275,282417,1968,123,16935.0,10,27.768395604395604
43,KP000226,201613,1279,607,22324.0,10,42.40775824175819
44,KP001262,282417,1968,139,9238.0,15,12.546197802197796
45,PWE00564,201613,1279,109,28309.0,6,11.496527472527468
46,KP000925,201613,1279,3,7580.0,13,8.578109890109893
47,KP003770,282417,1968,244,5540.0,4,0.6699999999999999
48,KP000927,282417,1968,1,21116.0,15,11.042549450549451
49,KP002347,282417,1968,105,43333.0,9,29.20501098901097
50,KP001802,201613,1279,108,5086.0,9,12.96380219780221
51,KP001268,282417,1968,59,21436.0,11,1.9552527472527472
52,KP003181,201613,1279,111,5086.0,9,35.30551648351646
53,KP003769,201613,1279,292,11163.0,17,3.179120879120879
54,KP000525,282417,1968,97,21116.0,25,5.103604395604395
55,KP002346,201613,1279,0,7580.0,7,3.2662417582417587
56,KP000694,201613,1279,105,695.0,6,2.8130989010989005
57,KP004628,201613,1279,190,52040.0,8,1.1300549450549449
58,KP005361,282417,1968,162,10569.0,6,1.1090549450549452
59,KP005353,201613,1279,40,5086.0,9,0.4964395604395605
60,KP002350,187020,2407,802,45549.0,18,13.217560439560446
61,KP000942,187020,2407,174,15352.0,11,6.107318681318685
62,KP003265,187020,2407,224,29549.0,13,74.73758241758239
63,KP002726,187020,2407,366,1234.0,10,12.682725274725277
64,KP000021,187020,2407,417,12895.0,15,114.38351648351644
