,stat_id,household,num_cars,num_rest,traffic,nearby_neighbor,avg_slow
0,KP000296,187020,2407,229,20175.0,5,0.6086703296703299
1,KP000524,282417,1968,3,9238.0,5,33.150483516483575
2,KP000690,282417,1968,105,5540.0,9,21.191208791208783
3,KP000016,201613,1279,153,28309.0,3,2.751289377289377
4,KP001800,201613,1279,33,7580.0,10,48.10527472527472
5,KP002271,201613,1279,53,28309.0,7,10.047791208791208
6,KP002960,282417,1968,223,6737.0,5,26.3345787545788
7,KP002873,282417,1968,108,21116.0,19,26.50162637362633
8,KP000926,282417,1968,466,16087.0,8,22.14152747252741
9,KP001804,282417,1968,196,6737.0,6,38.34659340659332
10,KP001265,201613,1279,269,11163.0,18,18.26901098901098
11,KP002345,201613,1279,528,8954.0,19,15.680989010989013
12,KP001263,282417,1968,103,9238.0,17,21.12505494505496
13,KP003022,282417,1968,96,21116.0,26,19.17009523809524
14,KP003603,201613,1279,114,5086.0,10,18.81650549450549
15,KP000689,201613,1279,65,27327.0,4,14.963150183150187
16,KP000687,282417,1968,166,5131.0,8,22.606373626373628
17,KP000523,282417,1968,3,21116.0,15,17.807384615384613
18,KP001806,282417,1968,20,31131.0,12,26.434835164835203
19,KP000526,282417,1968,439,47916.0,22,16.987945054945055
20,KP001264,282417,1968,84,9238.0,18,10.47846153846154
21,KP000521,201613,1279,22,7580.0,3,16.46334432234431
22,KP000691,282417,1968,470,6893.0,16,10.988571428571433
23,KP003149,282417,1968,52,21116.0,21,22.77944322344325
24,KP003680,201613,1279,369,8954.0,16,3.345318681318683
25,KP001803,201613,1279,565,17807.0,11,19.84956043956043
26,KP001807,282417,1968,4,9238.0,5,21.625934065934043
27,KP002684,282417,1968,10,21116.0,13,19.22252747252745
28,KP001799,201613,1279,0,7381.0,5,21.80681318681317
29,KP002812,282417,1968,71,21116.0,13,17.042454212454192
30,KP000520,201613,1279,5,7540.0,10,17.63214652014651
31,KP002811,201613,1279,5,2690.0,6,15.473113553113569
32,KP003605,282417,1968,323,17433.0,9,5.937054945054947
33,KP003275,282417,1968,123,16935.0,10,25.70453479853477
34,KP001262,282417,1968,139,9238.0,15,13.767527472527476
35,KP001267,282417,1968,241,14042.0,16,4.369230769230767
36,KP001266,282417,1968,93,21116.0,23,14.364285714285703
37,PWE00564,201613,1279,109,28309.0,6,9.702783882783882
38,KP003896,201613,1279,328,8954.0,11,7.381296703296707
39,KP000927,282417,1968,1,21116.0,15,7.028714285714287
40,NT100009,282417,1968,31,21116.0,7,10.345384615384628
41,KP002347,282417,1968,105,43333.0,9,26.835604395604403
42,KP001808,201613,1279,66,28309.0,8,11.154725274725278
43,KP001802,201613,1279,108,5086.0,9,16.163626373626364
44,KP001801,201613,1279,42,7580.0,7,16.677032967032964
45,KP001268,282417,1968,59,21436.0,11,13.109010989010995
46,KP003247,201613,1279,3,7540.0,8,1.7270769230769225
47,KP000694,201613,1279,105,695.0,6,4.68153846153846
48,KP000693,201613,1279,159,695.0,7,0.0037362637362637
49,SF002106,282417,1968,91,15974.0,16,11.405714285714284
50,KP002270,201613,1279,309,28309.0,8,1.4758351648351644
51,KP003604,282417,1968,157,9238.0,16,2.1710769230769227
52,KP000688,282417,1968,177,16935.0,10,0.0281318681318681
53,KP002623,201613,1279,84,695.0,8,0.0024175824175824
54,KP004052,187020,2407,426,9008.0,16,7.145821428571431
55,KP002350,187020,2407,802,45549.0,18,19.854505494505485
56,KP000942,187020,2407,174,15352.0,11,12.898578754578756
57,KP002726,187020,2407,366,1234.0,10,18.974945054945067
