LINK_ID,도로등급,도로명,권역,연장(km),차선수,전일
1160001701,일반국도,경인로,서울특별시 구로구,0.1575,3,50718
1160001801,일반국도,경인로,서울특별시 구로구,0.1575,3,6735
1160055000,특별광역시도,경인로,서울특별시 구로구,0.0820,1,28
1160001302,일반국도,경인로,서울특별시 구로구,0.0947,3,6707
1160001402,일반국도,경인로,서울특별시 구로구,0.0947,3,31338
1160055000,특별광역시도,남부순환로,서울특별시 구로구,0.0542,1,28
1160054300,특별광역시도,경인로,서울특별시 구로구,0.0368,1,24765
1160055000,특별광역시도,경인로,서울특별시 구로구,0.0368,1,28
1160055800,특별광역시도,남부순환로,서울특별시 구로구,0.1965,1,54
1160056200,특별광역시도,남부순환로,서울특별시 구로구,0.1965,1,20600
1160013403,특별광역시도,남부순환로,서울특별시 구로구,0.1284,3,47449
1160013302,특별광역시도,남부순환로,서울특별시 구로구,0.1284,2,19352
1160051400,특별광역시도,남부순환로,서울특별시 구로구,0.0625,1,26903
1160051400,특별광역시도,남부순환로,서울특별시 구로구,0.1388,1,26903
1160051400,특별광역시도,남부순환로,서울특별시 구로구,0.0717,1,26903
1160001702,일반국도,경인로,서울특별시 구로구,0.0720,3,23815
1160001802,일반국도,경인로,서울특별시 구로구,0.0720,3,6681
1160013401,특별광역시도,남부순환로,서울특별시 구로구,0.0791,2,26903
1160055800,특별광역시도,남부순환로,서울특별시 구로구,0.0599,1,54
1160013401,특별광역시도,남부순환로,서울특별시 구로구,0.0749,2,19380
1160054300,특별광역시도,경인로,서울특별시 구로구,0.1132,1,24765
1160013403,특별광역시도,남부순환로,서울특별시 구로구,0.1951,3,44499
1160016101,특별광역시도,남부순환로,서울특별시 구로구,0.5323,3,44864
"1160001803,1160001804,1160001805,1160001806",일반국도,경인로,서울특별시 구로구,0.5187,3,28897
"1160001703,1160001704,1160001705,1160001706",일반국도,경인로,서울특별시 구로구,0.5187,3,22124
"1160011303,1160044200",특별광역시도,개봉로,서울특별시 구로구,0.5993,3,12032
"1160011403,1160044100",특별광역시도,개봉로,서울특별시 구로구,0.5993,2,19423
"1160001601,1160001602,1160001603,1160001604",일반국도,경인로,서울특별시 구로구,0.8246,4,26561
"1160001501,1160001502,1160001503,1160001504",일반국도,경인로,서울특별시 구로구,0.8246,4,28164
"1160001301,1160001302",일반국도,경인로,서울특별시 구로구,0.6345,3,28268
1160000303,일반국도,경인로,서울특별시 구로구,0.0191,3,20532
1160000403,일반국도,경인로,서울특별시 구로구,0.0191,3,15207
